Variable,Comparison,ChatGPT_Mean,ChatGPT_SD,Math2Visual_Mean,Math2Visual_SD,Mean_Difference,Diff_SD,Shapiro_W,Shapiro_p,Test_Used,Test_Statistic,p_value,Effect_Size,Effect_Size_Type,Bonferroni_alpha,Significant,Custom_Mean,Custom_SD
accuracy_support,Math2Visual vs Custom,,,5.333333333333333,1.505545305418162,0.16666666666666666,2.48327740429189,0.9566856934922514,0.7938682484891272,Paired t-test,0.1643989873053573,0.8758564107737385,0.09411627926814484,Hedges' g,0.001851851851851852,NOT significant,5.166666666666667,1.4719601443879746
educational_value,ChatGPT vs Math2Visual,1.1666666666666667,0.408248290463863,5.666666666666667,1.2110601416389966,-4.5,1.0488088481701516,0.9600447730839174,0.8200856126819467,Paired t-test,-10.509735746180562,0.000134621423808123,-4.186550115658548,Hedges' g,0.001851851851851852,SIGNIFICANT,,
educational_value,ChatGPT vs Custom,1.1666666666666667,0.408248290463863,,,-4.166666666666667,1.4719601443879744,0.958012063580149,0.804296016894605,Paired t-test,-6.933752452815364,0.0009577234011264238,-3.876435292276433,Hedges' g,0.001851851851851852,SIGNIFICANT,5.333333333333333,1.2110601416389966
educational_value,Math2Visual vs Custom,,,5.666666666666667,1.2110601416389966,0.3333333333333333,2.250925735484551,0.8419654011654295,0.13533339813864986,Paired t-test,0.3627381250550058,0.7316297112751653,0.23140845874146204,Hedges' g,0.001851851851851852,NOT significant,5.333333333333333,1.2110601416389966
future_use,ChatGPT vs Math2Visual,1.0,0.0,5.166666666666667,1.1690451944500122,-4.166666666666667,1.1690451944500122,0.9075785338899113,0.42065852920262603,Paired t-test,-8.730378697119729,0.0003265488187970369,-4.237782376187982,Hedges' g,0.001851851851851852,SIGNIFICANT,,
future_use,ChatGPT vs Custom,1.0,0.0,,,-5.0,1.0954451150103321,0.6826765569390286,0.004039328512451689,Wilcoxon,0.0,0.03125,-0.8987170342729172,effect size r,0.001851851851851852,NOT significant,6.0,1.0954451150103321
future_use,Math2Visual vs Custom,,,5.166666666666667,1.1690451944500122,-0.8333333333333334,2.136976056643281,0.8924715841858051,0.3313409642945848,Paired t-test,-0.9552008998760877,0.38334333083069944,-0.6184651207228303,Hedges' g,0.001851851851851852,NOT significant,6.0,1.0954451150103321
completion_time_seconds,ChatGPT vs Math2Visual,277.41333333333336,81.42910709977524,294.7465,103.66852616826382,-17.33316666666667,114.2366492548108,0.8539749714564429,0.16943394732064476,Paired t-test,-0.37166193368686634,0.725374484091579,-0.15633669411563444,Hedges' g,0.001851851851851852,NOT significant,,
completion_time_seconds,ChatGPT vs Custom,277.41333333333336,81.42910709977524,,,115.27816666666666,175.18863429048892,0.8271658216794306,0.10169033377727821,Paired t-test,1.61182081223736,0.1679183303710819,0.7957208828658784,Hedges' g,0.001851851851851852,NOT significant,162.13516666666666,151.79095073345667
completion_time_seconds,Math2Visual vs Custom,,,294.7465,103.66852616826382,132.6113333333333,142.97476912891543,0.9939915581543102,0.9966457984249304,Paired t-test,2.2719400265924734,0.07226312122947617,0.8577936020698284,Hedges' g,0.001851851851851852,NOT significant,162.13516666666666,151.79095073345667
